File,Line,Token,LineText,Model,Surface,Origin,RiskOfChange,InitialRecommendation
analysis\acoustoelastic_iop_hgo\aeScoreBranchIdentityCandidates.m,10,atlasTopNMinima,"%   diagnostic is not limited by the production atlasTopNMinima value.",AE,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,16,Fast,"""Fast"", ""Balanced"", ""Robust"", ""robustness"", ""executionProfile"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,19,Fast,"""mrlfeUseGuiFastAtlasPreset"", ""mrlfeUseFitAtlasPreset"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,16,Balanced,"""Fast"", ""Balanced"", ""Robust"", ""robustness"", ""executionProfile"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,16,Robust,"""Fast"", ""Balanced"", ""Robust"", ""robustness"", ""executionProfile"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,16,robustness,"""Fast"", ""Balanced"", ""Robust"", ""robustness"", ""executionProfile"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,16,executionProfile,"""Fast"", ""Balanced"", ""Robust"", ""robustness"", ""executionProfile"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,139,executionProfile,"elseif contains(token, [""executionProfile"", ""solverPreset"", ""atlasPreset""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,17,solverPreset,"""solverPreset"", ""atlasPreset"", ""fitAtlasPreset"", ""fast_fit_atlas"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,139,solverPreset,"elseif contains(token, [""executionProfile"", ""solverPreset"", ""atlasPreset""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,17,atlasPreset,"""solverPreset"", ""atlasPreset"", ""fitAtlasPreset"", ""fast_fit_atlas"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,139,atlasPreset,"elseif contains(token, [""executionProfile"", ""solverPreset"", ""atlasPreset""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,17,fitAtlasPreset,"""solverPreset"", ""atlasPreset"", ""fitAtlasPreset"", ""fast_fit_atlas"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,17,fast_fit_atlas,"""solverPreset"", ""atlasPreset"", ""fitAtlasPreset"", ""fast_fit_atlas"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,141,fast_fit_atlas,"elseif contains(token, [""fast_fit_atlas"", ""fast_viscous"", ""fast_zero_viscosity_adaptive""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,18,fast_viscous,"""fast_viscous"", ""fast_zero_viscosity_adaptive"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,141,fast_viscous,"elseif contains(token, [""fast_fit_atlas"", ""fast_viscous"", ""fast_zero_viscosity_adaptive""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,18,fast_zero_viscosity_adaptive,"""fast_viscous"", ""fast_zero_viscosity_adaptive"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,141,fast_zero_viscosity_adaptive,"elseif contains(token, [""fast_fit_atlas"", ""fast_viscous"", ""fast_zero_viscosity_adaptive""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,19,mrlfeUseGuiFastAtlasPreset,"""mrlfeUseGuiFastAtlasPreset"", ""mrlfeUseFitAtlasPreset"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,19,mrlfeUseFitAtlasPreset,"""mrlfeUseGuiFastAtlasPreset"", ""mrlfeUseFitAtlasPreset"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,20,atlasNumYPoints,"""atlasNumYPoints"", ""atlasTopNMinima"", ""atlasInitializationNumFrequencyPoints"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,125,atlasNumYPoints,"elseif contains(token, [""MaxIter"", ""MaxFunEvals"", ""TolX"", ""atlasNumYPoints"", ""atlasTopNMinima""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,20,atlasTopNMinima,"""atlasNumYPoints"", ""atlasTopNMinima"", ""atlasInitializationNumFrequencyPoints"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,125,atlasTopNMinima,"elseif contains(token, [""MaxIter"", ""MaxFunEvals"", ""TolX"", ""atlasNumYPoints"", ""atlasTopNMinima""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,20,atlasInitializationNumFrequencyPoints,"""atlasNumYPoints"", ""atlasTopNMinima"", ""atlasInitializationNumFrequencyPoints"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,21,mrlfeFitAtlasCpScanPoints,"""mrlfeFitAtlasCpScanPoints"", ""mrlfeAdaptiveCpScanPoints"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,21,mrlfeAdaptiveCpScanPoints,"""mrlfeFitAtlasCpScanPoints"", ""mrlfeAdaptiveCpScanPoints"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,22,mrlfeViscoAtlasCpScanPoints,"""mrlfeViscoAtlasCpScanPoints"", ""mrlfeA0DPCpScanPoints"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,22,mrlfeA0DPCpScanPoints,"""mrlfeViscoAtlasCpScanPoints"", ""mrlfeA0DPCpScanPoints"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,23,MaxIter,"""MaxIter"", ""MaxFunEvals"", ""TolX""];",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,125,MaxIter,"elseif contains(token, [""MaxIter"", ""MaxFunEvals"", ""TolX"", ""atlasNumYPoints"", ""atlasTopNMinima""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,143,MaxIter,"elseif contains(token, [""MaxIter"", ""MaxFunEvals"", ""TolX""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,23,MaxFunEvals,"""MaxIter"", ""MaxFunEvals"", ""TolX""];",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,125,MaxFunEvals,"elseif contains(token, [""MaxIter"", ""MaxFunEvals"", ""TolX"", ""atlasNumYPoints"", ""atlasTopNMinima""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,143,MaxFunEvals,"elseif contains(token, [""MaxIter"", ""MaxFunEvals"", ""TolX""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,23,TolX,"""MaxIter"", ""MaxFunEvals"", ""TolX""];",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,125,TolX,"elseif contains(token, [""MaxIter"", ""MaxFunEvals"", ""TolX"", ""atlasNumYPoints"", ""atlasTopNMinima""])",shared,Fit,solver/API,low,preserve as historical context
analysis\execution_profiles\inventoryExecutionProfiles.m,143,TolX,"elseif contains(token, [""MaxIter"", ""MaxFunEvals"", ""TolX""])",shared,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\compareMRLFEAtlasPolicy.m,87,Fast,"robustness = string(getOption(policyOptions, 'robustness', ""Fast""));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\compareMRLFEAtlasPolicy.m,87,robustness,"robustness = string(getOption(policyOptions, 'robustness', ""Fast""));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\compareMRLFEAtlasPolicy.m,88,robustness,"options = rlDefaultOptions(robustness);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\compareMRLFEAtlasPolicy.m,140,mrlfeViscoAtlasCpScanPoints,"options.mrlfeA0DPCpScanPoints = getOption(policyOptions, 'mrlfeViscoAtlasCpScanPoints', 900);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\compareMRLFEAtlasPolicy.m,140,mrlfeA0DPCpScanPoints,"options.mrlfeA0DPCpScanPoints = getOption(policyOptions, 'mrlfeViscoAtlasCpScanPoints', 900);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\compareMRLFETrackingStrategies.m,23,Fast,"options = rlDefaultOptions(""Fast"");",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeBuildFitProblem.m,187,mrlfeA0DPCpScanPoints,"summary.mrlfeA0DPCpScanPoints = getOption(options, 'mrlfeA0DPCpScanPoints', []);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeDefaultSweepOptions.m,16,Fast,"options = rlDefaultOptions(""Fast"");",mRLFE,Fit,Default,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,119,Fast,"rlOptions = rlDefaultOptions(""Fast"");",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,235,fitAtlasPreset,"summary.fitAtlasPreset = string(localGetOption(options, 'mrlfeFitAtlasPreset', ""fast_fit_atlas""));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,88,fast_fit_atlas,"options.mrlfeFitAtlasPreset = string(localGetOption(options, 'mrlfeFitAtlasPreset', ""fast_fit_atlas""));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,185,fast_fit_atlas,"options.mrlfeFitAtlasPreset = string(localGetOption(options, 'mrlfeFitAtlasPreset', ""fast_fit_atlas""));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,215,fast_fit_atlas,"summary.preset = string(localGetOption(options, 'mrlfeFitAtlasPreset', ""fast_fit_atlas""));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,235,fast_fit_atlas,"summary.fitAtlasPreset = string(localGetOption(options, 'mrlfeFitAtlasPreset', ""fast_fit_atlas""));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,180,mrlfeUseFitAtlasPreset,"if ~logical(localGetOption(options, 'mrlfeUseFitAtlasPreset', true))",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,214,mrlfeUseFitAtlasPreset,"summary.useFitAtlasPreset = localGetOption(options, 'mrlfeUseFitAtlasPreset', true);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,187,mrlfeFitAtlasCpScanPoints,"options.mrlfeA0DPCpScanPoints = localGetOption(options, 'mrlfeFitAtlasCpScanPoints', localGetOption(options, 'mrlfeA0DPCpScanPoints', 260));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,188,mrlfeFitAtlasCpScanPoints,"options.mrlfeViscoAtlasCpScanPoints = localGetOption(options, 'mrlfeFitAtlasCpScanPoints', localGetOption(options, 'mrlfeViscoAtlasCpScanPoints', 260));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,189,mrlfeFitAtlasCpScanPoints,"options.mrlfeAdaptiveCpScanPoints = localGetOption(options, 'mrlfeFitAtlasCpScanPoints', localGetOption(options, 'mrlfeAdaptiveCpScanPoints', 260));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,189,mrlfeAdaptiveCpScanPoints,"options.mrlfeAdaptiveCpScanPoints = localGetOption(options, 'mrlfeFitAtlasCpScanPoints', localGetOption(options, 'mrlfeAdaptiveCpScanPoints', 260));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,216,mrlfeAdaptiveCpScanPoints,"summary.atlasCpScanPoints = localGetOption(options, 'mrlfeAdaptiveCpScanPoints', localGetOption(options, 'mrlfeA0DPCpScanPoints', NaN));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,188,mrlfeViscoAtlasCpScanPoints,"options.mrlfeViscoAtlasCpScanPoints = localGetOption(options, 'mrlfeFitAtlasCpScanPoints', localGetOption(options, 'mrlfeViscoAtlasCpScanPoints', 260));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,187,mrlfeA0DPCpScanPoints,"options.mrlfeA0DPCpScanPoints = localGetOption(options, 'mrlfeFitAtlasCpScanPoints', localGetOption(options, 'mrlfeA0DPCpScanPoints', 260));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateAtlasFitModel.m,216,mrlfeA0DPCpScanPoints,"summary.atlasCpScanPoints = localGetOption(options, 'mrlfeAdaptiveCpScanPoints', localGetOption(options, 'mrlfeA0DPCpScanPoints', NaN));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateFitModel.m,155,Fast,"rlOptions = rlDefaultOptions(""Fast"");",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateFitModel.m,227,mrlfeA0DPCpScanPoints,"options.mrlfeA0DPCpScanPoints = getOption(options, 'mrlfeFitA0DPCpScanPoints', 500);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeEvaluateFitModel.m,240,mrlfeA0DPCpScanPoints,"summary.a0DpCpScanPoints = getOption(options, 'mrlfeA0DPCpScanPoints', NaN);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeFitDispersionData.m,58,MaxIter,"options = optimset('Display', 'off', 'MaxIter', 45, 'MaxFunEvals', 90, 'TolX', 1e-5);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeFitDispersionData.m,67,MaxIter,"options = optimset('Display', 'off', 'MaxIter', 60, 'MaxFunEvals', 160, 'TolX', 1e-5, 'TolFun', 1e-7);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeFitDispersionData.m,58,MaxFunEvals,"options = optimset('Display', 'off', 'MaxIter', 45, 'MaxFunEvals', 90, 'TolX', 1e-5);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeFitDispersionData.m,67,MaxFunEvals,"options = optimset('Display', 'off', 'MaxIter', 60, 'MaxFunEvals', 160, 'TolX', 1e-5, 'TolFun', 1e-7);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeFitDispersionData.m,58,TolX,"options = optimset('Display', 'off', 'MaxIter', 45, 'MaxFunEvals', 90, 'TolX', 1e-5);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeFitDispersionData.m,67,TolX,"options = optimset('Display', 'off', 'MaxIter', 60, 'MaxFunEvals', 160, 'TolX', 1e-5, 'TolFun', 1e-7);",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeMakeDirectViscoAtlasBranchOptions.m,33,mrlfeViscoAtlasCpScanPoints,"options.mrlfeA0DPCpScanPoints = getOption(policyOptions, 'mrlfeViscoAtlasCpScanPoints', getOption(options, 'mrlfeA0DPCpScanPoints', 900));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\mrlfe\mrlfeMakeDirectViscoAtlasBranchOptions.m,33,mrlfeA0DPCpScanPoints,"options.mrlfeA0DPCpScanPoints = getOption(policyOptions, 'mrlfeViscoAtlasCpScanPoints', getOption(options, 'mrlfeA0DPCpScanPoints', 900));",mRLFE,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,16,Fast,"profiles = [""Fast"", ""Balanced"", ""Robust""];",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,96,Fast,"""Fast"", string(options.robustness), path, preset, iRun, elapsed, ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,145,Fast,"cp = rlEvaluateFitModel(params, frequency, ""A0"", rlDefaultOptions(""Fast""));",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,150,Fast,"'bounds', struct('mu', [20e3, 160e3]), 'controls', struct('robustness', ""Fast""), ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,154,Fast,"row = makeRow(""RL"", ""Fit"", ""A0"", ""Fast"", ""Fast"", ""direct"", ""none"", iRun, elapsed, ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,168,Fast,"'controls', struct('robustness', ""Fast"", 'etaS', 0, 'fluidDensity', 1000, 'fluidSoundSpeed', 1500), ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,172,Fast,"row = makeRow(""mRLFE"", ""Fit"", ""A0Like"", ""Fast"", ""Fast"", out.routePolicy.actualPath, ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,182,Fast,"options = aeDefaultSweepOptions(""Fast"");",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,188,Fast,"'controls', struct('robustness', ""Fast"", 'atlasNumYPoints', 300, 'atlasTopNMinima', 12, ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,193,Fast,"row = makeRow(""AE"", ""Fit"", ""atlasA0"", ""Fast"", ""Fast"", ""atlasA0"", ""300/12/50"", ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,16,Balanced,"profiles = [""Fast"", ""Balanced"", ""Robust""];",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,16,Robust,"profiles = [""Fast"", ""Balanced"", ""Robust""];",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,28,Robust,"'MaxAbsCpDiffVsRobust_mps', 'OptionsSummary', 'MatlabVersion', 'Platform'});",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,48,Robust,"robustOptions = rlDefaultOptions(""Robust"");",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,112,Robust,"if profiles(iProfile) == ""Robust""",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,113,Robust,"options = aeDefaultSweepOptions(""Robust"");",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,66,robustness,"rows(end+1, :) = makeRow(""RL"", ""API"", branchName, profile, options.robustness, ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,96,robustness,"""Fast"", string(options.robustness), path, preset, iRun, elapsed, ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,150,robustness,"'bounds', struct('mu', [20e3, 160e3]), 'controls', struct('robustness', ""Fast""), ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,168,robustness,"'controls', struct('robustness', ""Fast"", 'etaS', 0, 'fluidDensity', 1000, 'fluidSoundSpeed', 1500), ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,188,robustness,"'controls', struct('robustness', ""Fast"", 'atlasNumYPoints', 300, 'atlasTopNMinima', 12, ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,227,atlasPreset,"atlasPreset, runIndex, elapsed, valid, maxJump, maxDiff, optionsSummary)",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,229,atlasPreset,"string(effectiveProfile), string(route), string(atlasPreset), runIndex, elapsed, ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,94,fitAtlasPreset,"preset = raw.evaluationPath.fitAtlasPreset;",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,173,fitAtlasPreset,"out.routePolicy.fitAtlasPreset, iRun, elapsed, 1, NaN, NaN, ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,127,atlasNumYPoints,"sprintf('atlasNumYPoints=%g; atlasTopNMinima=%g; valid=%d/%d', ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,128,atlasNumYPoints,"options.atlasNumYPoints, options.atlasTopNMinima, nnz(raw.validMask), numel(raw.validMask))); %#ok<AGROW>",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,188,atlasNumYPoints,"'controls', struct('robustness', ""Fast"", 'atlasNumYPoints', 300, 'atlasTopNMinima', 12, ...",shared,Fit,solver/API,low,preserve as historical context
analysis\performance\run_execution_profile_benchmark.m,127,atlasTopNMinima,"sprintf('atlasNumYPoints=%g; atlasTopNMinima=%g; valid=%d/%d', ...",shared,Fit,solver/API,low,preserve as historical context
