Path,DocumentType,ActiveContract,InboundLinks,UniqueCurrentContent,HistoricalOnly,ContradictsCurrentCode,Decision,ReplacementOrConsolidationTarget,Risk,Evidence
README.md,index,1,14,1,0,0,retain,,low,tracked Markdown; 14 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/branch_policy_numerical_review.md,active contract,1,1,1,0,0,retain,,low,tracked Markdown; 1 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/identityA0_diagnostic_grid_validation.md,active validation procedure,1,2,1,0,0,retain,,low,tracked Markdown; 2 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/identityA0_diagnostic_policy.md,active usage guide,0,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/identityA0_physical_plausibility_diagnostic.md,active usage guide,0,2,1,0,0,retain,,low,tracked Markdown; 2 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/documentation_index.md,active usage guide,0,5,1,0,0,retain,,low,tracked Markdown; 5 inbound Markdown references; decision reviewed against current code/tests
docs/models/mrlfe/README.md,index,1,14,1,0,0,retain,,low,tracked Markdown; 14 inbound Markdown references; decision reviewed against current code/tests
docs/models/mrlfe/current_sweeps.md,active validation procedure,1,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/models/mrlfe/diagnostics/README.md,index,1,14,1,0,0,retain,,low,tracked Markdown; 14 inbound Markdown references; decision reviewed against current code/tests
docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md,active usage guide,0,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/models/mrlfe/fitting_workflow.md,active validation procedure,1,13,1,0,1,retain,,low,tracked Markdown; 13 inbound Markdown references; decision reviewed against current code/tests
docs/models/mrlfe/production_core.md,active contract,1,6,1,0,0,retain,,low,tracked Markdown; 6 inbound Markdown references; decision reviewed against current code/tests
docs/models/mrlfe/public_api.md,active contract,1,14,1,0,0,retain,,low,tracked Markdown; 14 inbound Markdown references; decision reviewed against current code/tests
docs/models/rayleigh_lamb/fitting_workflow.md,active validation procedure,1,13,1,0,0,retain,,low,tracked Markdown; 13 inbound Markdown references; decision reviewed against current code/tests
docs/models/rayleigh_lamb/overview.md,active usage guide,0,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/models/rayleigh_lamb/public_api.md,active contract,1,14,1,0,0,retain,,low,tracked Markdown; 14 inbound Markdown references; decision reviewed against current code/tests
docs/project/README.md,index,1,14,1,0,0,retain,,low,tracked Markdown; 14 inbound Markdown references; decision reviewed against current code/tests
docs/project/active_context.md,project operational context,1,5,1,0,0,retain,,low,tracked Markdown; 5 inbound Markdown references; decision reviewed against current code/tests
docs/project/session_handoff.md,project operational context,1,5,1,0,0,retain,,low,tracked Markdown; 5 inbound Markdown references; decision reviewed against current code/tests
docs/project/templates/codex_task.md,active usage guide,0,1,1,0,0,retain,,low,tracked Markdown; 1 inbound Markdown references; decision reviewed against current code/tests
docs/project/templates/new_chat_bootstrap.md,active usage guide,0,0,1,0,0,retain,,low,tracked Markdown; 0 inbound Markdown references; decision reviewed against current code/tests
docs/project/templates/session_closeout.md,active usage guide,0,0,1,0,0,retain,,low,tracked Markdown; 0 inbound Markdown references; decision reviewed against current code/tests
docs/repository/maintained_entrypoints.md,active contract,1,5,1,0,0,retain,,low,tracked Markdown; 5 inbound Markdown references; decision reviewed against current code/tests
docs/repository/mrlfe_line_and_repository_cleanup_report.md,active cleanup closeout,1,2,1,0,0,retain,,low,tracked Markdown; 2 inbound Markdown references; decision reviewed against current code/tests
docs/repository/mrlfe_line_and_repository_density_audit.md,active architecture/diagnostic plan,1,2,1,0,0,retain,,low,tracked Markdown; 2 inbound Markdown references; decision reviewed against current code/tests
docs/repository/naming_strategy.md,active contract,1,6,1,0,0,retain,,low,tracked Markdown; 6 inbound Markdown references; decision reviewed against current code/tests
docs/repository/repository_hygiene_plan.md,active usage guide,0,4,1,0,0,retain,,low,tracked Markdown; 4 inbound Markdown references; decision reviewed against current code/tests
docs/repository/repository_structure.md,active contract,1,7,1,0,0,retain,,low,tracked Markdown; 7 inbound Markdown references; decision reviewed against current code/tests
docs/repository/test_runner_ownership.md,active contract,1,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/repository/test_suite_final_architecture.md,active contract,1,0,1,0,0,retain,,low,tracked Markdown; 0 inbound Markdown references; decision reviewed against current code/tests
docs/repository/test_suite_runtime_evidence.md,active usage guide,0,1,1,0,0,retain,,low,tracked Markdown; 1 inbound Markdown references; decision reviewed against current code/tests
docs/repository/validation_status.md,active validation procedure,1,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/validation/execution_profile_diagnostics_validation.md,active validation procedure,1,2,1,0,0,retain,,low,tracked Markdown; 2 inbound Markdown references; decision reviewed against current code/tests
docs/validation/execution_profile_end_to_end_validation.md,active validation procedure,1,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/validation/fittool_interaction_manual_validation.md,active validation procedure,1,0,1,0,0,retain,,low,tracked Markdown; 0 inbound Markdown references; decision reviewed against current code/tests
docs/validation/mrlfe_execution_profile_benchmark.md,active validation procedure,1,2,1,0,0,retain,,low,tracked Markdown; 2 inbound Markdown references; decision reviewed against current code/tests
docs/validation/mrlfe_grid_presets.md,active validation procedure,1,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/validation/mrlfe_robust_start.md,active validation procedure,1,0,1,0,0,retain,,low,tracked Markdown; 0 inbound Markdown references; decision reviewed against current code/tests
docs/workflows/fitting/README.md,index,1,15,1,0,0,retain,,low,tracked Markdown; 15 inbound Markdown references; decision reviewed against current code/tests
docs/workflows/fitting/architecture.md,active contract,1,9,1,0,0,retain,,low,tracked Markdown; 9 inbound Markdown references; decision reviewed against current code/tests
docs/workflows/fitting/experimental_data_import.md,active validation procedure,1,0,1,0,0,retain,,low,tracked Markdown; 0 inbound Markdown references; decision reviewed against current code/tests
docs/workflows/fitting/validation_suite.md,active validation procedure,1,7,1,0,0,retain,,low,tracked Markdown; 7 inbound Markdown references; decision reviewed against current code/tests
docs/workflows/gui/adapter_architecture.md,active contract,1,6,1,0,0,retain,,low,tracked Markdown; 6 inbound Markdown references; decision reviewed against current code/tests
docs/workflows/gui/mrlfe_atlas_policy_integration.md,active validation procedure,1,4,1,0,0,retain,,low,tracked Markdown; 4 inbound Markdown references; decision reviewed against current code/tests
docs/workflows/sweeps/parametric_sweeps.md,active validation procedure,1,4,1,0,0,retain,,low,tracked Markdown; 4 inbound Markdown references; decision reviewed against current code/tests
docs/workflows/sweeps/sweep_tool_usage.md,active validation procedure,1,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
examples/mrlfe/diagnostics/README.md,index,1,15,1,0,0,retain,,low,tracked Markdown; 15 inbound Markdown references; decision reviewed against current code/tests
tests/README.md,index,1,14,1,0,0,retain,,low,tracked Markdown; 14 inbound Markdown references; decision reviewed against current code/tests
